timestamp	count_txn
2018-01-31     699
2018-02-28    4578
2018-03-31    1473
2018-04-30     425
2018-05-31     763
2018-06-30    2130
2018-07-31    1556
2018-08-31    2664
2018-09-30    4998
2018-10-31    3034
2018-11-30    2030
2018-12-31    2735
2019-01-31    2085
2019-02-28    2672
2019-03-31    3430
2019-04-30    1449
2019-05-31    1736
2019-06-30    2680
2019-07-31    1602
2019-08-31     967
2019-09-30    1389
2019-10-31    1419
2019-11-30    1047
2019-12-31    2178
2020-01-31     847
2020-02-29    1224
2020-03-31     505
2020-04-30     731
2020-05-31     106
2020-06-30     144
2020-07-31      64
2020-08-31      58
2020-09-30      34
2020-10-31      39
2020-11-30      13
2020-12-31      22
2021-01-31      25
2021-02-28      21
2021-03-31       7
