timestamp	count_txn
2017-09-30     23430
2017-10-31     24366
2017-11-30     12235
2017-12-31     20573
2018-01-31     16027
2018-02-28      7367
2018-03-31      5742
2018-04-30      5284
2018-05-31      5025
2018-06-30      3199
2018-07-31      3647
2018-08-31      4711
2018-09-30      5574
2018-10-31      5701
2018-11-30      9115
2018-12-31      6364
2019-01-31     12445
2019-02-28      7742
2019-03-31      8847
2019-04-30      7955
2019-05-31     32429
2019-06-30     99637
2019-07-31    137567
2019-08-31    165581
2019-09-30    182094
2019-10-31    237838
2019-11-30    233300
2019-12-31    274085
2020-01-31    338028
2020-02-29    356012
2020-03-31    387533
2020-04-30    275028
2020-05-31    277302
2020-06-30    273899
2020-07-31    474357
2020-08-31    864767
2020-09-30    630966
2020-10-31    295087
2020-11-30    346186
2020-12-31    350075
2021-01-31    572329
2021-02-28    493012
2021-03-31    160218
