timestamp	count_txn
2018-04-30         51
2018-05-31       1117
2018-06-30        811
2018-07-31      83648
2018-08-31    1302071
2018-09-30    3809776
2018-10-31     262688
2018-11-30       1387
2018-12-31       2328
2019-01-31       2948
2019-02-28       6193
2019-03-31      23889
2019-04-30      13811
2019-05-31      12645
2019-06-30       7425
2019-07-31       6879
2019-08-31       7034
2019-09-30       7398
2019-10-31       4860
2019-11-30       3850
2019-12-31       2646
2020-01-31       4133
2020-02-29       4329
2020-03-31       3650
2020-04-30       3687
2020-05-31       4455
2020-06-30       7847
2020-07-31       4999
2020-08-31       5513
2020-09-30       4557
2020-10-31       5972
2020-11-30       4382
2020-12-31       3765
2021-01-31      10273
2021-02-28       5545
2021-03-31       1544
