timestamp	count_txn
2018-08-31    2521
2018-09-30     941
2018-10-31    1065
2018-11-30    1319
2018-12-31     844
2019-01-31     776
2019-02-28     953
2019-03-31    2102
2019-04-30    1454
2019-05-31    1248
2019-06-30    1225
2019-07-31     917
2019-08-31     579
2019-09-30     546
2019-10-31     731
2019-11-30     430
2019-12-31     383
2020-01-31     430
2020-02-29     574
2020-03-31     390
2020-04-30     533
2020-05-31    1314
2020-06-30    1817
2020-07-31     961
2020-08-31     248
2020-09-30      86
2020-10-31     246
2020-11-30     277
2020-12-31     261
2021-01-31     460
2021-02-28     161
2021-03-31     398
