timestamp	count_txn
2019-01-31      10293
2019-02-28          0
2019-03-31          7
2019-04-30     359072
2019-05-31    1839399
2019-06-30    3454622
2019-07-31    2658874
2019-08-31     617411
2019-09-30       5876
2019-10-31        289
2019-11-30       1047
2019-12-31        138
2020-01-31         61
2020-02-29         46
2020-03-31         42
2020-04-30         41
2020-05-31         27
2020-06-30         57
2020-07-31         29
2020-08-31         33
2020-09-30         40
2020-10-31         73
2020-11-30         37
2020-12-31         15
2021-01-31          0
2021-02-28          2
2021-03-31          3
