timestamp	count_txn
2018-09-30       478
2018-10-31      5392
2018-11-30     12255
2018-12-31     11149
2019-01-31     13378
2019-02-28     10314
2019-03-31      6281
2019-04-30      9487
2019-05-31     33388
2019-06-30     38734
2019-07-31     45339
2019-08-31     41709
2019-09-30     34364
2019-10-31     44342
2019-11-30     50403
2019-12-31     62343
2020-01-31    110150
2020-02-29    166881
2020-03-31    298728
2020-04-30    467947
2020-05-31    682435
2020-06-30    433947
2020-07-31    173227
2020-08-31     51333
2020-09-30     28788
2020-10-31     34363
2020-11-30     91219
2020-12-31     57977
2021-01-31     48462
2021-02-28     32336
2021-03-31      6564
