timestamp	count_txn
2017-06-30      7244
2017-07-31     13421
2017-08-31     27132
2017-09-30     18562
2017-10-31     41749
2017-11-30     32637
2017-12-31     72664
2018-01-31     99597
2018-02-28    102772
2018-03-31    156828
2018-04-30     11918
2018-05-31    185742
2018-06-30    170249
2018-07-31     99852
2018-08-31     25605
2018-09-30      9642
2018-10-31     16152
2018-11-30     55646
2018-12-31    116852
2019-01-31      6413
2019-02-28     19125
2019-03-31     12752
2019-04-30      8234
2019-05-31      7152
2019-06-30     10501
2019-07-31      9233
2019-08-31     11041
2019-09-30      8939
2019-10-31     11018
2019-11-30     13072
2019-12-31     13569
2020-01-31     16104
2020-02-29     24409
2020-03-31     46560
2020-04-30     47405
2020-05-31     65583
2020-06-30     81373
2020-07-31     38753
2020-08-31     23693
2020-09-30     13800
2020-10-31     14041
2020-11-30     14641
2020-12-31     13834
2021-01-31     13151
2021-02-28     12709
2021-03-31      4242
