timestamp	count_txn
2017-09-30          2
2017-10-31          0
2017-11-30         29
2017-12-31         25
2018-01-31        397
2018-02-28       1114
2018-03-31       1284
2018-04-30       2264
2018-05-31       2744
2018-06-30       2681
2018-07-31       4479
2018-08-31       2606
2018-09-30       4189
2018-10-31       3083
2018-11-30       3620
2018-12-31       9238
2019-01-31       3812
2019-02-28       3204
2019-03-31      10123
2019-04-30      52074
2019-05-31     123911
2019-06-30     386048
2019-07-31     895534
2019-08-31    2183716
2019-09-30    3815907
2019-10-31    2463443
2019-11-30    2632143
2019-12-31    2258993
2020-01-31    1936328
2020-02-29    2622451
2020-03-31    3510295
2020-04-30    4314564
2020-05-31    5438064
2020-06-30    6811420
2020-07-31    6838516
2020-08-31    7136982
2020-09-30    6088613
2020-10-31    7487740
2020-11-30    7084192
2020-12-31    6913429
2021-01-31    6699556
2021-02-28    4749020
2021-03-31    1188413
