timestamp	count_txn
2017-07-31      3
2017-08-31      0
2017-09-30      0
2017-10-31      0
2017-11-30      0
2017-12-31      0
2018-01-31      0
2018-02-28     15
2018-03-31      1
2018-04-30      0
2018-05-31      0
2018-06-30      0
2018-07-31      8
2018-08-31     59
2018-09-30    115
2018-10-31     83
2018-11-30    142
2018-12-31     89
2019-01-31     27
2019-02-28     21
2019-03-31      5
2019-04-30      3
2019-05-31      2
2019-06-30      1
2019-07-31      0
2019-08-31      2
2019-09-30      3
2019-10-31      0
2019-11-30     28
2019-12-31     10
2020-01-31      4
2020-02-29      2
2020-03-31      0
2020-04-30      3
2020-05-31      1
2020-06-30      0
2020-07-31      4
2020-08-31      0
2020-09-30      2
2020-10-31      2
2020-11-30      6
2020-12-31      1
