timestamp	count_txn
2017-11-30      42864
2017-12-31    1326057
2018-01-31     191156
2018-02-28     230603
2018-03-31     232052
2018-04-30     189074
2018-05-31     115853
2018-06-30     114279
2018-07-31      85698
2018-08-31     131470
2018-09-30     224697
2018-10-31     164279
2018-11-30     172877
2018-12-31     187644
2019-01-31     126102
2019-02-28     116943
2019-03-31     171234
2019-04-30     119888
2019-05-31     238798
2019-06-30     125392
2019-07-31     104782
2019-08-31     114843
2019-09-30      57416
2019-10-31      75424
2019-11-30      78934
2019-12-31      77659
2020-01-31      85798
2020-02-29      86655
2020-03-31      79329
2020-04-30      80153
2020-05-31      70129
2020-06-30      42828
2020-07-31      41389
2020-08-31      18157
2020-09-30      27609
2020-10-31      41651
2020-11-30      23544
2020-12-31      14481
2021-01-31       7542
2021-02-28       7613
2021-03-31       7352
