timestamp	count_txn
2018-08-31     1386
2018-09-30     4930
2018-10-31     5426
2018-11-30    48818
2018-12-31    31099
2019-01-31    28293
2019-02-28     9672
2019-03-31     1931
2019-04-30     1915
2019-05-31     2157
2019-06-30     2609
2019-07-31     1103
2019-08-31     1448
2019-09-30     1680
2019-10-31      746
2019-11-30      638
2019-12-31      941
2020-01-31     1682
2020-02-29     6883
2020-03-31     1451
2020-04-30     1055
2020-05-31     1103
2020-06-30      763
2020-07-31      839
2020-08-31      521
2020-09-30      341
2020-10-31      549
2020-11-30      863
2020-12-31      738
2021-01-31      884
2021-02-28      587
2021-03-31      465
